PLACEID,PLACE,EVENT START DATE,TARGET(2018_month),MONTH,EVENT END DATE
1,Red Earth First Nation SK,14/11/2016 12:00:00 AM,1,11,18/11/2016 12:00:00 AM
2,"Nova Scotia, Prince Edward Island and Newfoundland",9/10/2016 0:00,0,10,13/10/2016 12:00:00 AM
3,Windsor and Tecumseh ON,29/09/2016 12:00:00 AM,1,9,29/09/2016 12:00:00 AM
4,Fort McMurray AB,30/07/2016 12:00:00 AM,0,7,31/07/2016 12:00:00 AM
5,Kenora ON,27/06/2016 12:00:00 AM,1,6,28/06/2016 12:00:00 AM
6,Northeastern British Columbia,15/06/2016 12:00:00 AM,1,6,17/06/2016 12:00:00 AM
7,Kashechewan First Nation ON,27/04/2016 12:00:00 AM,1,4,30/04/2016 12:00:00 AM
8,Chestermere AB,12/7/2015 0:00,0,7,12/7/2015 0:00
9,Perth-Andover NB,18/04/2015 12:00:00 AM,0,4,20/04/2015 12:00:00 AM
10,Fort Albany and Kashcewan First Nation,17/04/2015 12:00:00 AM,0,5,11/5/2015 0:00
11,Southern Saskatchewan,25/06/2014 12:00:00 AM,0,7,14/07/2014 12:00:00 AM
12,New Brunswick,15/04/2014 12:00:00 AM,1,5,2/5/2014 0:00
13,Southern Quebec,14/04/2014 12:00:00 AM,1,5,1/5/2014 0:00
14,Toronto ON,8/7/2013 0:00,1,7,8/7/2013 0:00
15,Southern Alberta,19/06/2013 12:00:00 AM,1,6,28/06/2013 12:00:00 AM
16,Kasabonika Lake First Nation ON,27/05/2013 12:00:00 AM,1,5,31/05/2013 12:00:00 AM
17,Sicamous BC,23/06/2012 12:00:00 AM,1,6,23/06/2012 12:00:00 AM
18,"Yukon, Northwest Territories and British Columbia",6/6/2012 0:00,1,6,30/06/2012 12:00:00 AM
19,Thunder Bay ON,28/05/2012 12:00:00 AM,1,5,28/05/2012 12:00:00 AM
20,Fort Albany and Kashechewan First Nations ON,24/03/2012 12:00:00 AM,1,4,1/4/2012 0:00
21,Kashechewan and Fort Albany ON,24/03/2012 12:00:00 AM,0,4,1/4/2012 0:00
9,Perth-Andover NB,23/03/2012 12:00:00 AM,0,3,25/03/2012 12:00:00 AM
22,"Eckville, Lacombe, Paddle River, Fort Vermilion, and Peace River AB",12/7/2011 0:00,0,7,14/07/2011 12:00:00 AM
23,Weyburn and Estavan SK,17/06/2011 12:00:00 AM,1,7,28/06/2011 12:00:00 AM
24,Southern Manitoba,2/6/2011 0:00,1,7,9/7/2011 0:00
25,Calgary AB,29/05/2011 12:00:00 AM,1,5,31/05/2011 12:00:00 AM
26,Brandon MB,10/5/2011 0:00,1,5,28/05/2011 12:00:00 AM
27,"Assiniboine, Roseau and Red Rivers MB",19/04/2011 12:00:00 AM,1,6,17/06/2011 12:00:00 AM
28,Montérégie QC,17/04/2011 12:00:00 AM,0,6,22/06/2011 12:00:00 AM
12,New Brunswick and Nova Scotia,13/12/2010 12:00:00 AM,1,12,13/12/2010 12:00:00 AM
29,Gaspé and Bonaventure QC,5/12/2010 0:00,1,12,15/12/2010 12:00:00 AM
30,Yarmouth and Halifax NS,7/11/2010 0:00,1,12,15/12/2010 12:00:00 AM
31,Kingcome Inlet and Bella Coola BC,24/09/2010 12:00:00 AM,0,9,25/09/2010 12:00:00 AM
32,Meat Cove NS,21/08/2010 12:00:00 AM,1,8,22/08/2010 12:00:00 AM
15,Southern Alberta and Saskatchewan,17/06/2010 12:00:00 AM,1,6,17/06/2010 12:00:00 AM
33,Winnipeg MB,28/05/2010 12:00:00 AM,1,5,30/05/2010 12:00:00 AM
34,Duncan and North Cowichan (Vancouver Island) BC,20/11/2009 12:00:00 AM,0,11,20/11/2009 12:00:00 AM
35,Notre-Dame-des-Prairies QC,28/06/2009 12:00:00 AM,1,7,4/7/2009 0:00
36,Rock Creek and Henderson Corner YT,1/5/2009 0:00,0,5,1/5/2009 0:00
37,"Saint John, Miramichi and Restigouche River NB",5/4/2009 0:00,1,5,4/5/2009 0:00
38,"Roseau River First Nation, Sioux Falls, Peguis First Nation, St. Andrews, St. Clements and Selkirk MB",24/03/2009 12:00:00 AM,1,5,21/05/2009 12:00:00 AM
39,Pangnirtung NU,8/6/2008 0:00,0,6,9/6/2008 0:00
40,Saint John River NB,30/05/2008 12:00:00 AM,1,5,30/05/2008 12:00:00 AM
41,High River AB,24/05/2008 12:00:00 AM,0,5,24/05/2008 12:00:00 AM
42,James Bay ON,9/5/2008 0:00,1,5,9/5/2008 0:00
43,Hay River NT,5/5/2008 0:00,1,7,7/5/2008 0:00
44,Quebec City QC,28/04/2008 12:00:00 AM,0,5,2/5/2008 0:00
45,Albany River ON,25/04/2008 12:00:00 AM,1,4,25/04/2008 12:00:00 AM
46,Trent Hills ON,17/04/2008 12:00:00 AM,1,4,17/04/2008 12:00:00 AM
47,Belleville ON,14/04/2008 12:00:00 AM,0,4,14/04/2008 12:00:00 AM
48,Paddockwood SK,14/04/2008 12:00:00 AM,1,4,14/04/2008 12:00:00 AM
